Title,Rating,Comment
Best earphone in this price.,5,"Hii frnds today I m tell u about seniisher cx180 earphone.

First talking about its style and look thas was awsm I like it and not only me everybody will be like the style design and look of this warphone.

Now we talk about performance and the performance was awsm I really like its sound quality main important thing is bass and the bass in this earphone is amazing really I like it.

I bought this earphone 1 year ago and till I used them their is no defect on it wire are good sound is good only they dont give mic with it thats a problem but I m satisfied with this earphone sennisher is beat always.

I bought this earphone from amazon rs 699 on last diwali. And I invest my money on good thing its value for money."
Not suitable for price,2,"The earphones are having somany problems with my daily usage.

The first one is the quality of the earphones are not good they can be cutted easily when touches to a sharp surface.

The second one is the bass the bass is not good at the price range the boat bass headset gives you good bass than this whivh is priced at 550 when compared to this.

The third problem is the wire which is getting folded eadily they should have given a falt type wire which can't be folded easily

These are the main problems for me in mu usage it may vary gor other persons according yo their needs."
Sennheiser cx 180 Street 2,5,"I am using the Sennheiser CX 180 Street 2 last 1 year, its simply say amazing if you are the music lovers it's really helpful to you.

Benefits;
Extra bass
Super noise cancellation
Have a separate app for that earphone For extra bass effect
Less weight
Design is also amazing
6.only earphone have the 2 year warranty Its amazing.

One disadvantage is it's have with out mic

But it's the super choice for the music lovers."
Sennheiser earphones are getting worst,1,"In this review I want share my worst experience regarding the sennheiser earphones. First of all build quality is not good, you cannot use them roughly. It's light weight and sound is sweet but has no bass, overall its not good as compared to its price.It costed me 899/- as I bought it recently from snapdeal.com.It got damaged in 1 month. Voice is not coming properly. After few days the earphone stopped working.I would suggest not to buy these earphones as there are many other alternatives such as boat, soundpeats and many more. After few days of use the cord of the earphones got completely damaged and wrinkled. So if you willing to buy sennheiser think twice and take decision.

I am not all satisfied with my buy and I suggest you to buy any other earphones instead of this one."
Sennheiser CX180 street ll earphones,4,"First of all the earphones are damn awesome but its stock buds ( the rubber on them) are stupid so you have to change them to a thick buds then it will give a badass bass and good noise isolation otherwise its not possible with the stock buds. I have been using it since 1 year. And you should only buy it if there's a authorised Sennheiser service center in your city, because these earphones comes with 2 years for warranty. After 1 year my earphones stereo was just swapped I mean the right earphone was working as left earphone but they were working fine."
The sound which everyone should hear!,5,"I am music lover almost psychic about listining music. So I needed a good in the ear canalphone which has good base and has good and clear sound. I researched a little and came to this product.

Sound quality and clarity is of very high quality.

You can't complain about that even if you want.

Base is also good. You can actually feel that beat in your brain.

Quality of the wire is very good and strong too. I have been using this product since 1 yr. And it is still working fine.

Ear buds and design is very comfertable for the year's.

Only the thing I don't like about this product is there is no microphone in this canalphone. Otherwise this earphone has no match.

I would definitely refer this to all my friends.

Thanks"
Sennheiser CX 180,5,"Hello friends, here is my review regarding Sennheiser CX 180 street II ear phones:

KEY FEATURES:

1.contemporary design

2.frequency response:40-18000HZ

3.noise cancelling microphone

4.adjustable microphone boom

wire quality is better than many other earphones, also the wire is quite thinner .it has a gold plated tip. ear buds are soft and fit properly in the ear.extra buds are provided with the earphones(extra large and small buds). sound quality is amazing even with the low sound.also the bass is perfectly balanced which gives better performance at all sound levels.

noise cancelling is also better."
Ultimate Earphones,5,"Firstly, the design of these earphones is phenomenal. The in ear feel of these earphones is amazing. The length of the wire is long enough for a person to use it from nearly anywhere in his pockets.

Secondly, I have been using these amazing earphones since last two years and they still work like a charm.

I spent 900 bucks on this earphones and they are worth every penny.

The only con they have is that they don't have a mic. So if you take a lot of calls on earphones that would be a problem.

All in all a great product and one can buy it with their eyes closed."
Landed from heaven !!!!,5,"Hello every one this is my review after using this earphone for nearly 2 years this earphone is the one and only perfect electronic thing that I ever purchased its the best in its price btw which is decreasing thats good for us, I love each and every thing of this earphone the cable quality is amazing it looks that it wont last long but trust me I have got still no issues regarding it what so ever still listening music while writing this review the L shape pin is amazing the small  cable manager is amazing, talking about the quality of sound just got one word for it and I am gonna spell it out for you AWESOME  the highs lows are just perfect its has got great bass and the loudness can sure make your roof fly the only one thing that made me just a little disappointed is that the wire is not tangle proof but to cover it they are providing two year warranty what else do you want, so just go for it blindly ."
Sennheiser cx 180 earphones true facts,2,"Sennheiser cx180 earphones advantages and disadvantages

Advantages: 1) Sennheiser cx 180 earphones came with good quality sound speakers

2) we are getting 3 ear pads which are useful for us 3 different sizes of ear pads will be given to us small, medium and large we can choose our best fit size to our ears

3) 2 yers warranty peroid is there for us if anything happened to speakers or internal effect to wires means we can get new earphones if we contact with that perticular representative

Disadvantages: 1) quality of wires those are very thin sometimes I got scared because of that thin wires sometimes we feel that it will brake easily

2) wires most of the time twisted when we put it in our pockets it so irritating for us to take down

3) there is no mike for this earphones

Overall my experience is good I am using this earphones from last 1 year and till now it is safe if u ask me whether it is value for money I would say no simply because there is no mike and that twisted wires I bought this product for 700₹ I am not satisfied with this few features"
Not a great product,1,"Sennheiser which is a best company that will produce earphones to market

But CX180 is not upto mark

While listining in full volume the music is flat and base is very low and disappointed with the performance produced by Sennheiser

Lack of mic in this bought for around 799 through amazon but still mic is missing it will be a problem while taking calls.

Finally we can get JBL TS 150 for the same price range we can get inbuilt mic on that headset and it is good value for money"
The Headphone Quality is very bad seems a copy,1,"I have recently purchased snnheiser CX 180 headphone from Flipkart for Rs. 822 but when I received the package, it was not properly packed and when I opened it, the quality of those headphones were very bad. The branded product should have its own box packing. This headphone sound quality is very cheap and seems like I am using a headphone purchased from street vendor. May be the product sent to me is duplicate copy of it or the courier guys have tampered the shipping.

Design: Looks like first copy. I have seen same headphone with my friend and it looks far better than the one I have received.

Performance: Not good at all. Bass is very low

Value for Money: No it is not. I could have purchased Philips or other brand headphone for less price.

Satisfaction: I am not satisfied with the quality and have requested replacement for this."
Great product from sennheiser,5,When I first listened to these earphones the very first thing I got in my mind is buy this one without going to any second thought. the sound quality is just amazing for this price and I felt this sounds like a premium ear phones. it has an enough bass with nice highs and lows pitches with good noise cancellation and had good treble. It even looks good with nice build quality. Overall its a great product from Sennheiser and I will definitely recommend everyone to go for it who are looking under 1000 rupees.
My review on a Senheisser product,2,"I bought a Senheisser earphone in May 17. I ordered it from Amazon. It was an offer. I paid 730 Rupees for the earphones.

I was using a JBL earphones earlier. But one on the right side got damaged. So this time I tried going for a better option.

It is 3 months since I am using this earphones, it is a fragile piece of material for rough use. The wire has got lesser protection in terms of thickness. And the rubber muffs easily remove when inserted in ears.

It is said that the quality of hearing is the best. I have to accept this fact.

It has good looks. But the problem is with the mic, which is not there and so while attending calls, one has to hold the phone in hand. Or secondly disconnect the headphones. The value of headphones for money is not valuable. The price at which I bought the headphones, at the same price I could buy a Sony earphones, which are far better in its quality.

So I will not suggest that the readers should buy Senheissers earphones but rather choose a Sony or JBL product which is cheap and of equal quality as of this"
Balance Earphone hai ..,3,"The company provides the earphone with. : - good packing which I like the most with normal extra bud, good labelling, etc .TALKING about the earophone purcahsing it may be a a balance deal.If someone wishes to purchase and its design is some how good but it also lacks some of the points but for a normal user it's ok"
Awesome soumd clarity,4,"Its the beast at this price. Decent bass and sound clarity. It is supported on the 3.5 jack.the built quality is nice. It fits in ear so nicely. Very comfortable. If you are a music lover then you should definitely try this headphone. Believe me. I am personally using this.it will cost you 899+.search for some deals on flipkart, amazon and paytm. On amazon great indian sale is on, flipkart also have freedom sale. So look for some deals and go for it"
Value for the money Earphone,4,"I purchased Sennheiser CX180 earphones from Amazon, 3 months before.

Awsome sound clarity and bass. I loved it. I think this one of the best in this price range.

Good design and build quality. Cable length is not too or not too lengthy. Shape of the cable not changed like other branded earphone.

I tried 3D and Atmos sounds, awesome clarity and good surrounding effect."
More than average Senheiser Earphone,3,"This is the new brand in the audio department, and I have to say that it is going good, but considering the price range its more than average I would say.

I bought it from flipkart for 800 rupees with 0 delivery charges and I like the build quality and material is very good. The bass is good enough, not as high and punchy as the skullcandy but 80% of it.

Highs and lows are decent and quality of the sound was pure high definition, more than skullcandy earphones. Designs and looks are also stylish.

And the one thing that I very much liked is that it is more durable than other earphones in the market. I would rate it 8 out of 10."
Undisputed Sennheiser CX180,5,"Hi friends, I love music and I have tried a variety of earphones. But sennheiser outruns all others. I have been using this for quite a long a long time about 2 years. And it still beats awesome. Its bass is great clarity is unbeatable.I got it for Rs 720 from amazon.

This cx180 comes with 2 years of warranty. And its service is very smooth. I have few pairs of these and I got one of mine exchanged in minutes. One thing to keep in mind is, it does not have mic. So only listening no talking ; )"
Unbeatable product,5,"The sennheiser cx 180 street II was an amazing in the ear earphone  under 1k price range. the mixing of sound is fabulous.Bass, treble is mixing amazing.I bought this earphone 1 year ago till now no match for it .the only problem is that it has no mic and control button but this makes it stonger not easily break.

This is a great product. I honestly said that u must try it. It is awesome"
Best Brand Earphone in Good Price,5,"Sennheiser is one of the best brand in terms of sound quality. I bought sennheiser CX 180 earphone online and I am very satisfied with this product. Sound quality is superb, thats what you can expect from a brand like sennheiser. I loved this earphone. When I bought this earphone that time online price was around Rupees 900 and I got this in offer price of Rupees 519. This model of sennheiser is exceptionally good, earbuds are very soft, bass is perfect, there is a well designed clip attached in the wire for adjusting the wire. I like that concept. I am fully satisfied with this product from sennheiser.If you are looking for good sound qaulity earphone then grab this one."
Sennheiser CX 180- Best earphone under 1000,3,"A must buy earphone the sound quality is too amazing and clear with great high& low base sound performs well.

The look is amazing with black and grey colour and gives a premium look, brand quality is royal. It gives nice and comfort feel but long use may hurt ears within.

The cable flexible with rubber base but it is too thin which makes it sensitive and have to use with care.

The ear buds are of too good quality and also it comes with extra ear buds of extra and medium size which fits the ear perfectly

Price is affordable cost around 800-900rs and the only drawback it has is it doesn't come with a mic.

In all is best earphone at this price with clear sound quality I'm personally using it from 3weeks and it's awesome."
Good earphones with great sound,4,"Its a good product according to price to performance ratio, I really loved it. There are some points that tell you the full information about this product.

Quality: - according to look, its looks like a poor quality product but its a good quality wire and its get the job done and it is really most comferable earphone I have used.

Design and looks: - Design feel little old but its ok but still looks very cool.

Sonud: - sound is amazing if you are a bass lover then go for it, mids and lows are little poor but you can easly gonna enjoy it all.

Price to performance ratio is very good.

Don't wait just go for it."
For MUSIC Lovers.,4,"If you are a music lover and dont want to shell out money, this one is for you.@899/-

This earsphone is great to have.I have been using it for over a year and they have good Bass.

You can listen long hours without pain in ears.One problem I faced that it doesnt fit well with some mobiles audio jack.They look stylish and light in weight.

The best thing the earcaps you get are in three different sizes:

Small

Medium

Large

The quality is really good.Just go for it!"
Best option under 1000 rs,4,"Sennheiser CX 180 is one of India's best selling earphone and here are the few reasons. It has got 2 years warranty and this the main reason behind it's high demand. The audio quality is just awesome, the sound is bass driven and sound clarity is good with its 10 mm drivers.

Only drawback with this earphones is the absence of microphone.Hope it helps."
Best Sound quality,4,"This earphone is best in Rs 1000 in sound quality, quality of bass, noise cancellation, etc.

PROS =
Crisp & detailed sound
Perfect bass
Average build quality
Best noise cancellation
Finger grip design
Long wire
Angular 3.5 mm jack
Gold plated jack
CONS = ( only one)
No mic
As you can see their is only one con which is no mic. You can buy these from Amazon, flipkart, etc in cheap price ( Rs700-Rs800) ."
Bad choice,1,"Sennheiser has a dammn good reputation for earphones so I bought one but thats where I was wrong. i've been using these for about 8months and I use them everyday , there bass quality is not so good and just as u twerk up the bass in your phones equaliser there sound quality starts cracking and u wont be able to hear anything with clearity and I f u like listen to music then its my humble request that dont buy them they wont provide the sound quality u want in a price of Rs1100"
Average product with high price,2,"Hav been using the earphones for a long time and here are my views regarding it.

Pros( advantages) -

1- the sound quality is great. It delivers crystal clear audio output.
The design is also preety descent. It is a light weight product. And carrying is easy.
It has a great noise cancellation feature. Even in mid volume it provides great noise cancellation.
L shaped jack and gold plated.
Cons( disadvantages) -
Frstly the wire is not of a good quality. it is not tangle free.
There is no inline mic. Like I xpected a mic fr the money I am spending.
The earphones are not durable.
Sennheiser lacks a proper service center.
They do not hav too many service centers.

And u will hav to search like anythng to get one.

I used these product once but aftr around 2 mntha of usage the left earphone started disturbing. It delivered un balanced sound and I discovered that it is vecause of the jack.

Again I ordered the same product. and for the second product also the same issue after2-3 months. Either one of tge earphone becomes unable to deliver proper sound. And the difference in sound is so significant that it irritates the ears.

So overall. I dont suggest anyone or this product. From me its a 2 star. and those 2 stars are also for the sound quality and noise cancellation which can b enjoyed for the first few months of use."
Excellent earphone under 1000,5,I brought this earphone via online after reading reviews online and after receiving it I didn't get disappointed because I got what I was expecting from these earphone the sound is excellent without any daubt. I am using these earphone since 2 years and never get a single defect in the sound. The sound quality is very important when you are buying a earphone but telling you honestly that if you planning to buy a new earphone I recommend you that just go for this earphone once I assure you that you won't get disappointed.I am very much satisfied with this earphone.
Excellent,3,"Hai friends this is sasi , sennherser cx180 is one of the popolar germany company it is good nice bass , nice quality , extra buds, but there is no mic it is bad remark while compare to skullcandyS2RFDA-003 I prefer sennheiser cx 180 so friends go for sennheisers at rate of below 1000 , and company will give 2 years warenty on this"
Awesome performance,5,"Guys recently I have bought Sennheiser CX 180 ear phone and it costed me Rs. 899and it comes with two years warranty.

Now, Sennheiser is a well reputed Company which manufactures classy earphones and headphones and its products are praised worldwide.

Now about my experience with the earphone, first about packaging, packaging is just awesome, it reveals that product is classy.

Second, about the design, perfect and stylish comes with three sizes earbuds.

Product is very light and can be easily carried in pockets.

About the sound, guys its really really fantastic, must recommended for music lovers, it will let you feel every single beat of any song, bass is awesome, treble is perfect and sound quality is 5/5.

For ergonomics I will give 5/5.

For bass, treble I will give full marks.

Must buy, value for money"
SENSATIONAL,4,WHAT CAN POSSIBLY BEAT SENNHEISER IN THE EARPHONE DEPARTMENT.I HAD BOUGHT THIS RECENTLY AND IT HAS BEEN AMAZING.AND I DON'T REALLY THINK ANY OTHER COMPANY CAN PROVIDE A BETTER EARPHONE AT THIS PRICE RANGE.THE BUILD QUALITY HAS BEEN PRETTY GOOD AND THE EARPHONE DOES LOOK VERY STYLISH.THE FIT OF THE PODS ARE VERY PERFECT AND FIT INTO THE EARS WELL.THE SOUND OUTPUT IS AMAZING AND ALMOST EVERY DETAIL IS HEARD OFF.YOU CAN USE THIS WHILE GAMING AS WELL.
Sennheiser CX 180 Street II Used & Tested,4,"I buy this In-Ear Earphone 6 months ago & never Regret my decision.

Sennheiser is Still the Best Brand for making Earphones.

This is one of the best Value for money In-Ear Earphone available in market till Date.

The product looks & Design is not up-to the bar but still who cares if you get good Quality of sound and Bass Quality.

Conclusion:

I am Satisfy with this In-Ear Earphone after using nearly 6 to 7 months.

Go for it."
Why u should buy this,4,"Well I have used this headphones over a month now and I have to say that I have been impressed by the sound quality and looks

these headphones looks cool and provide excellent bass

The bass on this is the selling point it is not the loudest but it is good and these headphones come with 3 earplugs each of different size and top of that these headphones are very cheap considering its brand name and other earphones of this price range if u want cheap good earphones these will do the trick"
Best Earphone under 1k,4,"I purchased this earphones on snapdeal for Rs 800 & I used this product for a year. I think this earphone is best in design, no issue with the sound quality and value for money.

This earphone is symmetrical in DESIGN and good built quality. The cable is strong and the material is also good.

THE PERFORMANCE, the bass is awesome and no problems with sound quality.

This is best earphone for daily purpose use but it lacks mic."
A real badass ...,4,"I found these earphones on paytm and have been using it for about a month now so its best time to review now.

Build quality:

1 - Build feels sturdy of the buds but the wire kind of feels fragile as it is not braided or not even tangle free.

2 - Looks of the earphone is top notch and feels like premium ones so no complaints of the looks.

3 - They provide different sized buds so whichever fits you best just put it on to get maximum noise cancillation from outside.

4 - sound bleed is also very minimal if the buds fit completely then it is fully isolated from outside world.

5 - 3.5mm jack is gold plated and is bent neck design is good.

Performance :

1 - Sound quality is amazing for this price bracket.

2 - Bass is also solid in this earphone as seeing its compact size.

Value for money :

I think it is value for money as you are getting a amazing sound output along with great bass and that too in a solid premium design which makes you stand out in the crowd. Only thing you may miss is the inline microphone but the sound quality makes up for that. Those who want pure sound and great music experience on the go or anywhere should defenitly go for this product and it is available for about 900rupees on normal days and as less as 700rupees on some sale.

My experience :

I saw this earphone on the e-commerce website and it was well rated on the platform so I decided to buy it because they have good return policy so I bought it and when it came I quickly got to it and started testing wether I got a good one or not and I was surprised to know that the sound output was amazing and I loved it. I may not match up to some big headphones that comes in the price of about 1000rs to 1500 but it defenitely beat the every earphone I had previously used."
Best beginners earphones?,4,"I have been around audiophiles for quite some time now. And the one thing that we all have in common is that all of us have used these earphones as our mains at some point in life.

Why is that?

Well, they are not at all heavy on the pockets. They are retailing for about Rs. 700 now(I got mine when they were 1500, about 6 years ago). These earphones provide one of the best output for the price that you are paying. The warranty that comes with them is genuine, and if your pair breaks within the time frame, they will give a replacement.

The sound quality is good, lows are balanced, everything seems good."
Good Sound quality with better look,4,"I was purchased this from amazon.in and I received in 3 days of order. When I used product first time with my moto G4 plus phone, it relaxed me when listen the song. it provide noise cancellation with long wire for laptop to use in any position.

I never seen this type of design in any earphone even in JBL, it provides better look with finger cutting for catch the ear phones. If it provides microphone its better for calling but its not provide. Performance is better than other earphones but not with JBL 150SI. But JBl not provide very long wire to place anywhere, But Sennheiser provide very long cable.

Its money is little bit of high against JBL 150SI but we are compramise about this. Overall the details I think about its value for maney and I am satisfied but not most satisfied"
Best In class But Less Bass,5,I am using thia ear phone from last 1 year I fell sound in this quality of sound is very good also buit quality is best its inside ear earphone so you can use this fot long hours without hurting your ear.Provide hing quality sound and sounds more good in DOLBY surrounding sound. compare with other ear phone of this type this one is realley good just small bugs like less bass feels bad with some sound & no mike provie for call but overall exprence is awsome you can buy this at online store best in classs ear phone
Sennheiser CX 180 Street is Nice headphone,5,"Sennheiser CX 180 Street is Nice headphone, this performance is superb, and warranty is year and this is nice satisfaction tention free usage, no huge cost for this product this is a nice headphone my favourite headphone Sennheiser CX 180 Street.

I unboxed it and connected it to my Asus Zenfone 2 Laser running Lineage OS(custom rom) with Dolby Atmos audio equalizer. Oh man! Was I in for a surprise! The audio quality was really good! Better than I had expected from a 729 Rs pair of headphones. Initially the Highs were a bit too much for my liking but after tweaking the equalizer for a bit I was able to get an awesome experience. I've used it extensively for hours straight and it was really comfortable.

Build Quality: I'd give it a 3.5/5 for now, maybe its me, It seemed a bit fragile to me, not flimsy just feels like I have to be careful with it but anyway time will tell, I'll update this review after a week of usage.

Audio quality: I'd give it 4/5 because I have heard better audio quality but at a higher price range so if we are considering audio quality to the price you're paying for it, then my rating is going to be 5/5, you can't do anything better than this at this price range.

Mic wasn't important for me so it isn't a gripe for me but there are those of you for whom it is mandatory.

I've read in forums that Sennheiser Service Centers are really awesome, so that is great to know.

That sum's up my user experience of the product.

Stay tuned for more updates on the long term usage.

I'm glad if you found this review Helpful."
Lovely Piece for music lovers,4,"Sennheiser CX 180 street II is one of the best earphone in the range of Rs 500-1K. I bought this product at Rs 700 only from online shop. Its comes with 3 size earbuds i.e. small, medium, large.

Coming to detail, small sennheiser logo branding on earpiece, look is preety simple no fancy colors. Overall its look like a standard earphone but its performance is outstanding. You can enjoy every beat of music whether it is EDM, ROCK or any other. Believe me It will pull you in to the OCEAN OF MUSIC. It does n't hurt your ears even you listen for long hours(3-4 hrs). Other brands are available cheaper in price with premium look but they won't give you the quality of sound and they hurt your ears. So this are all Pros let talk about its Cons.
wire is not tangle free
No mic(okay for music lover)
Should work on look.
Overall its a best earphone for music lovers in the range of 1K. I bet you will not regret after using this piece. If your budget is more you can go for other brands.

Thankyou for going through my review. Have a nice day:)"
Awsome,4,Awesome headphones provides unparalleled bass and high resolution sound. It is suitable for casual music listening the bass is not muddy at all. It also have noise cancellation the ultimate product from senheiser but little disappointment is it tangle easily but not so often. And doesn't have mic. So it is better option for you if you are looking for good sounding headphones.
Trusted Brand Forever,4,"As Sennheiser CX 180 Street II is an in ear earphones.

Design:

The eye catching features in this in ear earphone is its design. keeping needs of customer in mind this big brand made a very perfect thing we could think in this price range .

The look is enhanced by the finger holding cut on the driver(means the ear piece).

The branding is done very nicely on the ear piece and the cut which also look as the branding.

This earphones are very trendy and could use in day to day life by teenagers to look cool.

Performance:

Now the main part come here the performance as nobody usually believe a good performing in ear earphone in this price range but this global brand proved everybody wrong they did it.

the driver size is good enough in this price range.

It has a frequency range of 20-20khz, which more then good.

The noise cancellation feature is not very good as the structural design is not made for noise cancellation.

The 3.5mm jack is golden platted which is very nice feature as it help for increasing the performance and conductivity flow compare to the silver platted jack .As the high priced earphones always comes in golden platted jack so that they do not corrode and remain same after rough and tough use of jack as using jack very frequently removes the platting on it the it is said to me not very well manufactured but this don't happens to our sennheiser cx 180.

The price is very good for this many feature as this is the only global brand giving this many things in this much small packet. surely go for it"
Best budget Earphones..,4,"This one is the best budget earphone ever I have purchace befor 6months ago and bass is superb low budget good earphones.

Sennheiser is also a good company all products sennheiser very exlant.

Properly gdood working no any type problem in this earphones best fiting grip in ear.and volume is not sharp simple and soft volume and bass is superb this earphones.

I think youbcan go purchasing earphones this price I sugest you this one is the best earphone."
Best earphone with great sound quality,5,"Hey everyone. This is the best earphone I used till now. And sennheiser is a well known brand, which is used by the professional singers. In this price range it is the best earphone. There are very less well known compaines who gives you good quality at less price. Sound quality is lovely. Bass , treble is balanced. Noise cancellation is good. You can hear the detailing of the song even in noisy environment. Look is awesome. Love it. Wire seems delicate but it is durable. It is so comfortable that u can even listen whole day, but your eyes will not pain. It gives you 2 extra sets of ear buds of different sizes. You'll will surly love this. Go for it."
Great product exclusively for music purpose!,4,"I have been using this product for over a year now. The sound quality and wire quality and noise cancellation are excellent and worth the money you spend. However, it doesn't have mic, volume controller or music changing button which is a big let down in this earbud! One cannot use it for calling purpose as it lacks mic. One cannot enjoy listening to music with it either as it fails to fulfill even the basic requirement of a headphone or earbud, i.e., volume controller or at least a music changer key which is a disadvantage considering it's price of approx Rs 800!

However, after experiencing it's sound quality, one can simply ignore these cons!"
Go for it,5,"Why buy this product?
Value of money.
If not want disturbance of surrounding, buy this one because it has noice canceling technology.
If want boosted bass go for it. It is best in class.
Wide frequency range just like 20 to 22000 hrz.
Sound is really clean and deep.
After sell service is really good."
Best budget earphones,4,"It's been 2 months since I bought these earphones and it works awesome. I bought it from an online shopping website for about 800 Rs and I am pretty much satisfied with it.

First of all the sound quality is just awesome you can enjoy each and every beat of the music. The clarity the bass everything is great. The noise isolation is so good that if you are in heavy traffic or a place where there is lot of noise it completely isolates the noises.

The built quality is very premium and it's simple and sweet. These earphones are available in two colours black and grey. These are very comfortable for the ears.

The only thing which I hate is that it doesn't have a mic, so you cannot use it for calling otherwise these earphones are the best budget earphones ever. If you are planning to buy earphones under 1000 rs then go for this you can't get better than this under 1000rs"
Awsone budget product ....,5,"Hello freinds I can purchasing this product 5 monts ago and this time I can review about this product earphones.

Superb earphones u can buy this earphones without any problem.

Bass and sound clerity is superb and I thought best budget earphones .

Quality of this product also good and material using good very light weight and no any problem using songs I can listning 2 3 hours daily best fit and grip good.

So u can buy this prodct best option."
HIGH TREBLE AND LOW BASS,3,"SOUND QUALITY ( 8/10) :
Crisp and clear sound quality.
TREBLE QUALITY ( 8/10) : Treble is high with very sharp voice.
BASS QUALITY ( 4/10) :
The music quality is stereo with very less bass. Actually bass is average but due to highness of treble its look like low compare to treble.
BUILD QUALITY ( 6/10) : Earphones are very light and comfortable. The cable is very thin and is prone to get tangled and cuts.
WARRANTY ( 10/10) :
2 years of manufacturer Warranty.
VALUE FOR MONEY ( 6/10) : For light music lover, it is decent earphone. But for Rock and beats lover. DON'T go for THIS. I compared this headphone with Letv Reverse In-Ear Headphones of Rs. 899. which have better balanced bass and treble."
Sennheiser defines the meaning of quality,4,We all want two things in our tour that is phone and earphones so sennheiser gives u the best quality of sound and gives comfort to your ears. In the range of under 800rs it is the best product. Its sound quality and base is quite amazing u all know about jbl bcuz of its name but trust me jbl. Is nothing in front of sennheiser. Sennheiser redefines to us about the sound which gives comfort to our ears and u would love to listen music. U can compare it with any earphones above the range of 1000rs even they cannot beat this quality of sound. There is only one disadvantage that is 'NO MIC'. YEAH I also feel bad for this but if u r a music lover thn u can compromise with this. TRUST me u can trust on this headphone. You can buy it from amazon or flipkart. GO FOR IT.
A Good Product for Music Lovers,4,"Sennheiser CX 180 Earphones are very responsive and amazing product for music lovers.

The product has stylish look and premium design.

Considering Specification of the product, it has bass driven stereo sound, High Passive Attenuation of Ambient Noise, Great Sound Output(equalised/balanced sound output).

The performance of the Sennheiser CX 180 is very good and satisfactory, the quality of the sound output is very good.

The product is priced around 800-900 Rupees.

The only disadvantage regarding this product is the mic option which is missing in this product, Thus it can be only used to listen audio, music and cannot be used for calling purpose.

Thus it is very handy, comes with good build quality and a true value for money product."
Another Amazing product by Sennheiser :) !!!!,4,"Sennheiser is one of the best among headphone brands. Talking about these headphones they're, awesome for it's price range. You can grab it for around 800 bucks and even less on e-commerce websites. Let me break it down in pointers, so that you can be the judge whether this one's for you or not.
The design is elegant and catchy. While it comes in only colour combination i.e, Black & Grey, it is pretty good. The edge of the earpieces are curved which makes it ergonomical to hold with your fingers. if you down you even get cable holder which helps in adjusting the length of wire. While wires are normal even after about 9 months of usage I do not see any wearing and tearing signs. The 2.5 mm jack is gold plated which adds to the durability the sound output. These earphones are very light(5 gram).
While there may be complaints regarding it's bass, bear in mind that this comes on a budget range compared to bass heavy products. For it's price, the sound from these earphones are clear and balanced. Yeah, maybe it is not bass heavy but if you want so then you should be looking in more premium range. Vocals are pretty good and mids are also even good. These earphones can get amazingly loud and I bet that at maximum volume you would throw out the earphones in matter of minutes. For me 60% is the sweet spot. Also the noise isolation is damn good. Even in heavy traffics and noises it amazingly isolates the noises. So, there, s a good chance you would not be able hear the horns and sounds of approaching vehicle, so while wearing it keep your eyes alert!
This earphone has no mic in it. So, if you want an earphone with a mic then I would suggest JBL T100A or JBL C100SI. But if you are looking for a earphone for good music in a budget then go for this one.
These earphones come with a warranty of two years which is amazing deal at this price point.But as these earphones are not braided you would have to be careful because wires are not that sturdy.
P.S:- Around 2 days back, these earphones were in my jeans which were soaked in detergent for about 10 hours. This was dumb of me but these earphones are still working the same and there are no problems even after being in water for so long.

This is it my friends. I guess this would give you pretty much reasons to sort out your requirement and confusions to get your hands on this earphone. I am very happy with the product keeping in mind the price I paid for it."
OLD GERMAN RULER IN ITS RANGE,5,"SENNHEISER is a German brand and these earphones offer the same for what German are known for i.e ""QUALITY"".These earphones are too awesome.They offer a great build quality and at the same time they are budget friendly.In starting bass is somewhat less but as you start using them they offer very good quality and in all departments like mids high bass treble.They are comfortable even for long use and come with three pairs of earplugs.They offer very good noise cancellation.The wire is very much durable.I bought them two year ago and still they doing very good. If they provide a mic and buttons then it is too much awesome .They offer a 2 year warranty.A budget friendly durable value for money and long last effecting product.Totally "" PAISA VASOOL""."
Best in this price,4,"This is a excellent product and one of the best earphones I have ever used, totally outstanding such a price range. Amazing clarity great material quality and soft earbuds.

Pros :
Great Bass
2.Great Quality

3.Noice isolation

4.comfortable

5.high volume

6.soft earbuds

Cons:
No mic"
Bad product,1,"So, I ordered this product few months ago on flipkart. I bought it because my friends were all praises for the products. So I thought of buying it, also because it is a well known brand. I started using it three moment it arrived. I didn't like the sound volume. But clarity and effects were not bad. Even the wire was long and flexible. But after a few weeks, the wire near the earbud started coming off. And the volume started decreasing. And eventually, it stopped working. Being a well known popular company, it got spoiled so soon inspite of taking well care of it. I dont suggest this product because it is not worth the money"
"Great Sound Quality, Value For Money..!!",4,"I really liked this Sennheiser CX 180 Street II In-Ear Earphones as the sound quality is mind blowing, the bass in this Sennheiser Earphones is very very deep, smooth and punchy bass, the cable looks very thin but I will say it is durable as many times mistakenly the cable got pulled hard but it doesn't get damaged so this Sennheiser CX 180 Street II In-Ear Earphones is durable, and a drawback of this Earphones is that these Earphones don't have the mic. design is very nice and these Sennheiser Earphones are very much comfortable even if you are listing music for hours, I am completely satisfied with it."
